artistName,id,genres
Sxmpra,14uo609t1MvRGZcskySt9R,"aesthetic rap, dark trap, drift phonk"
YungChalk,4aTDkOLRBUwNRj3ywR5AHM,drift phonk
Fort Vine,4z6zfcLHwK3FfJMM2vMMAh,
Vincent Peirani,2aMYfhweGlfp6qj9r6OGUO,"accordion, french jazz"
Chronologist,0IaTDHWLYUE3yJvFtIfOF2,instrumental progressive metal
Davey Muise,51YXTrKX8qbQw4rqKwbAeI,
dandelion hands,6mOWFF6HJ6krnIpW0CHLQm,"indie pop, lo-fi emo, lo-fi indie"
Apes of the State,4HemfSCDgnPiHQh8Z6iyd6,"acoustic punk, anti-folk, folk punk, lancaster pa indie, pittsburgh indie"
WILLOW,3rWZHrfrsPBxVy692yAIxF,"afrofuturism, dance pop, electropop, pop, post-teen pop"
Sleepy Dog,1Cj9j44XMhQeNHAwWJRCKd,pet calming
Joey Pecoraro,44insiIQApkRaCMIbuaISJ,"chillhop, lo-fi beats"
Sweeps,1ZqVxe4j6KEwGA1WyJkw8t,chillhop
brakence,4kqFrZkeqDfOIEqTWqbOOV,"emo rap, glitchcore, pop rap, sad rap"
「Story of Hope」,7eISwg7a85Nl2045F0zKZI,"idol rock, japanese post-hardcore"
Graduating Life,314yGMWtZrRjWP5GwTlE2E,"alternative emo, diy emo, emo, midwest emo"
ScHoolboy Q,5IcR3N7QB1j6KBL8eImZ8m,"gangster rap, hip hop, pop rap, rap, southern hip hop, trap, underground hip hop"
Kanye West,5K4W6rqBFWDnAN6FQUkS6x,"chicago rap, rap"
SALES,6vVztIuqdDHvYWxOEXCzjN,orlando indie
Melanie Martinez,63yrD80RY3RNEM2YDpUpO8,"alt z, electropop, pop"
Turnover,0gLjJuczGWhqKVMmVpIT52,"alternative emo, anthem emo, dreamo, emo"
It Looks Sad.,24M8W1AklCxyWTKjrJZDQ8,"alternative emo, charlotte nc indie, dreamo, emo, indie garage rock, midwest emo, north carolina emo"
Microwave,7ptm7G8z8VVvwBnDq8fAmD,"alternative emo, anthem emo, atlanta punk, dreamo, emo, pop punk"
The Story So Far,6meTcQ79DrfkIuSLPZkpBg,"alternative emo, anthem emo, emo, pop punk, rock"
Movements,1kkyfIopIiVvaPHHlbsfac,"alternative emo, anthem emo, dreamo, emo, midwest emo, pop punk, socal pop punk"
Jank,1ZlNyL0lpTRXyotxiHvgCl,"emo, swancore"
Rarity,6PqIHmHPCKrZoyLMf98era,pony
Good Fall,6PNroIqOoE6kCl4q4s8eKl,
Tera Melos,3K4vimkwmCyjD4g1hEMPjZ,"instrumental math rock, math pop, math rock"
Modern Baseball,1HxXNvsraqrsgfmju1yKk8,"alternative emo, emo, philly indie, pop punk"
Their / They're / There,1YHQ910iiaYN4zfEvkvlZy,"alternative emo, chicago indie, midwest emo"
